Fe,Ni,Co,Cr,Mn,C,Mo,Si,Cu,Al,W,V,Ti,Nb,Tensile Strength: Ultimate (UTS) (psi),compositional_sum_flag
86.15,0.3,0.0,12.5,0.5,0.04,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,480.0,PASS
84.55,1.9,0.0,12.5,0.5,0.075,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,900.0,PASS
80.9,4.5,0.0,12.75,0.75,0.025,0.75,0.3,0.0,0.0,0.0,0.0,0.0,0.0,900.0,PASS
85.55000000000001,0.0,0.0,13.0,0.65,0.075,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,510.0,PASS
85.5,0.0,0.0,13.0,0.65,0.075,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,540.0,PASS
81.05,2.0,0.0,13.0,0.25,0.175,0.25,0.25,0.0,0.0,3.0,0.0,0.0,0.0,1100.0,PASS
85.1,0.375,0.0,13.0,0.5,0.275,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,690.0,PASS
85.0,0.0,0.0,13.0,0.65,0.35,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,740.0,PASS
83.85,0.75,0.0,11.75,0.75,0.225,1.1,0.25,0.0,0.0,1.1,0.25,0.0,0.0,910.0,PASS
81.0,1.9,0.0,16.0,0.5,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,890.0,PASS
80.9,0.0,0.0,17.0,0.5,0.675,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,730.0,PASS
80.75,0.0,0.0,17.0,0.5,0.875,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,740.0,PASS
80.55,0.0,0.0,17.0,0.5,1.1,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,710.0,PASS
97.65,0.1,0.0,0.075,0.54,1.1,0.05,0.25,0.1,0.0,0.075,0.05,0.0,0.0,590.0,PASS
97.4,0.1,0.0,0.075,0.5449999999999999,1.175,0.05,0.25,0.1,0.0,0.075,0.25,0.0,0.0,580.0,PASS
97.5,0.1,0.0,0.5,0.25,1.15,0.05,0.25,0.1,0.0,0.075,0.05,0.0,0.0,600.0,PASS
71.25,4.5,0.0,17.0,6.5,0.075,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
71.45,4.5,0.0,17.0,6.5,0.015,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
70.7,4.5,0.0,16.75,6.95,0.015,0.0,0.375,0.5,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
67.5,5.0,0.0,18.0,8.75,0.075,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
73.0,2.25,0.0,16.0,8.0,0.015,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
65.35,1.35,0.0,17.5,14.75,0.185,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
74.35,7.0,0.0,17.0,1.0,0.075,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
74.35,7.0,0.0,17.0,1.0,0.015,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
74.30000000000001,7.0,0.0,17.0,1.0,0.015,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
71.45,9.0,0.0,18.0,1.0,0.075,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
69.35,9.0,0.0,18.0,1.0,0.075,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,580.0,PASS
71.1,9.0,0.0,18.0,1.0,0.075,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
71.05000000000001,9.0,0.0,18.0,1.0,0.075,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,590.0,PASS
70.25,9.25,0.0,19.0,1.0,0.04,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
